Reference, Value, Footprint, Datasheet, mouser#, digi#
"P1","Power","Socket_Arduino_Uno:Socket_Strip_Arduino_1x08","","474-PRT-09279",""
"P2","Analog","Socket_Arduino_Uno:Socket_Strip_Arduino_1x06","","474-PRT-09280",""
"P5","CONN_01X01","Socket_Arduino_Uno:Arduino_1pin",""
"P6","CONN_01X01","Socket_Arduino_Uno:Arduino_1pin",""
"P7","CONN_01X01","Socket_Arduino_Uno:Arduino_1pin",""
"P8","CONN_01X01","Socket_Arduino_Uno:Arduino_1pin",""
"P4","Digital","Socket_Arduino_Uno:Socket_Strip_Arduino_1x08","","474-PRT-09279",""
"P3","Digital","Socket_Arduino_Uno:Socket_Strip_Arduino_1x10","","474-PRT-11376",""
"U101","LM1117IMPX-ADJ","w_smd_trans:sot223","","926-M1117IMPXADJNOPB",""
"Q101","Q_PMOS_GDS","w_smd_trans:sot23","","771-PMV48XP215",""
"F101","FUSE","w_smd_resistors:r_1210","","652-MF-USMF050-2",""
"R102","10k","w_smd_resistors:r_0805","","ERJ-6GEYJ103V",""
"R101","100","w_smd_resistors:r_0805","","ERJ-6ENF1000V",""
"D101","BAT60","w_smd_diode:sod323","","726-BAT60AE6327HTSA1",""
"R108","390","w_smd_resistors:r_0805","","ERJ-6GEYJ391V",""
"R112","240","w_smd_resistors:r_0805","","ERJ-6GEYJ241V",""
"C103","10uf","w_smd_cap:c_1210","","77-VJ1210V106ZXJTBC",""
"C104","0.1uf","w_smd_cap:c_0805","","81-GCM21BR71H104KA37",""
"U102","CP2102","Housings_DFN_QFN:QFN-28-1EP_5x5mm_Pitch0.5mm","","634-CP2102-GM ",""
"P101","USB_OTG","w_conn_pc:conn_usb_B_micro_smd","","10118192-0001LF",""
"C107","0.1uf","w_smd_cap:c_0805","","81-GCM21BR71H104KA40",""
"C108","0.1uf","w_smd_cap:c_0805","","81-GCM21BR71H104KA41",""
"C106","0.1uf","w_smd_cap:c_0805","","81-GCM21BR71H104KA39",""
"C105","0.1uf","w_smd_cap:c_0805","","81-GCM21BR71H104KA38",""
"R117","390","w_smd_resistors:r_0805","","ERJ-6GEYJ391V",""
"U103","ESP32-WROOM","project_foot:ESP32-WROOM",""
"C109","0.1uf","w_smd_cap:c_0805","","81-GCM21BR71H104KA42",""
"P102","TST","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"P103","TST","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"P104","TST","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"P105","TST","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"P106","TST","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"P107","TST","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"P108","TST","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"P109","TST","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"P110","TST","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"P111","TST","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"P112","TST","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"P113","TST","Measurement_Points:Measurement_Point_Round-SMD-Pad_Small",""
"LDR101","LDR","","","","PDV-P8103-ND"
"R110","10k","w_smd_resistors:r_0805","","ERJ-6GEYJ103V",""
"R111","50k","w_smd_resistors:r_0805","","ERJ-6ENF4992V",""
"SW101","FLASH","w_switch:PCB_PUSH","","506-FSM4JAH",""
"SW102","ENABLE","w_switch:PCB_PUSH","","506-FSM4JAH",""
"R105","390","w_smd_resistors:r_0805","","ERJ-6GEYJ391V",""
"R106","390","w_smd_resistors:r_0805","","ERJ-6GEYJ391V",""
"C101","10nf","w_smd_cap:c_0805","","81-GRM40X103K50D",""
"C102","10nf","w_smd_cap:c_0805","","81-GRM40X103K50D",""
"D102","LED","w_smd_leds:Led_0805","","604-AP2012YD",""
"R113","390","w_smd_resistors:r_0805","","ERJ-6GEYJ391V",""
"D103","LED","w_smd_leds:Led_0805","","604-AP2012YD",""
"R114","390","w_smd_resistors:r_0805","","ERJ-6GEYJ391V",""
"D104","LED","w_smd_leds:Led_0805","","604-AP2012YD",""
"R115","390","w_smd_resistors:r_0805","","ERJ-6GEYJ391V",""
"D105","LED","w_smd_leds:Led_0805","","604-AP2012YD",""
"R116","390","w_smd_resistors:r_0805","","ERJ-6GEYJ391V",""
"SW103","SWITCH_INV","project_foot:OS102011MS2QN1 Slide Switch","","611-OS102011MS2QN1",""
"R118","5k","w_smd_resistors:r_0805","","ERJ-6ENF4991V",""
"R119","5k","w_smd_resistors:r_0805","","ERJ-6ENF4991V",""
"SW104","SWITCH_INV","project_foot:OS102011MS2QN1 Slide Switch","","611-OS102011MS2QN1",""
"R107","12k","w_smd_resistors:r_0805","","ERJ-6GEYJ123V",""
"SW105","SWITCH_INV","project_foot:OS102011MS2QN1 Slide Switch","","611-OS102011MS2QN1",""
"R103","0","w_smd_resistors:r_0805","","ERJ-6GEY0R00V",""
"R104","0","w_smd_resistors:r_0805","","ERJ-6GEY0R00V",""
"C110","47uf/6v","w_smd_cap:c_1206","","TAJA476K006SNJV",""
"FD1","TEST_1P","Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop",""
"FD2","TEST_1P","Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop",""
"FD3","TEST_1P","Fiducials:Fiducial_1mm_Dia_2.54mm_Outer_CopperTop",""
"D1","LED","w_smd_leds:Led_0805","","604-AP2012YD",""
"R1","390","w_smd_resistors:r_0805","","ERJ-6GEYJ391V",""
"R2","0","w_smd_resistors:r_0805","","ERJ-6GEY0R00V",""
"R3","10k","w_smd_resistors:r_0805","","ERJ-6GEYJ103V",""
